Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.7188,0.7062,0.7188,0.6623,,,0.191,0.2458,,,,,,
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,,,0.5599,0.5693,,,,,,
RandomForest,TVAE,0.7083,0.6986,0.7083,0.7022,,,0.2956,0.2971,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4688,0.5137,0.4688,0.4858,,,-0.124,-0.1278,,,,,,
DecisionTree,CTGAN,0.3542,0.4701,0.3542,0.3542,,,-0.1324,-0.1758,,,,,,
DecisionTree,GaussianCopula,0.6146,0.5967,0.6146,0.6041,,,0.0603,0.0608,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
DecisionTree,TVAE,0.7292,0.711,0.7292,0.7066,,,0.2925,0.3095,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.75,0.75,0.75,0.7114,,,0.3043,0.3568,,,,,,
RandomForest,Original,0.8438,0.8421,0.8438,0.8374,,,0.6117,0.6219,,,,,,
RandomForest,TVAE,0.6042,0.6185,0.6042,0.6104,,,0.1111,0.1116,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4688,0.5137,0.4688,0.4858,,,-0.124,-0.1278,,,,,,
DecisionTree,CTGAN,0.3333,0.4464,0.3333,0.3278,,,-0.1532,-0.2101,,,,,,
DecisionTree,GaussianCopula,0.5938,0.566,0.5938,0.5772,,,-0.0097,-0.0099,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
DecisionTree,TVAE,0.7292,0.7122,0.7292,0.7116,,,0.3067,0.3182,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7083,0.6875,0.7083,0.6447,,,0.1515,0.2033,,,,,,
RandomForest,Original,0.8333,0.8355,0.8333,0.8225,,,0.5733,0.5949,,,,,,
RandomForest,TVAE,0.6667,0.6667,0.6667,0.6667,,,0.2242,0.2242,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4792,0.5347,0.4792,0.4975,,,-0.0753,-0.0789,,,,,,
DecisionTree,CTGAN,0.5521,0.5394,0.5521,0.5453,,,-0.0717,-0.0719,,,,,,
DecisionTree,GaussianCopula,0.5312,0.5355,0.5312,0.5333,,,-0.0811,-0.0811,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.6771,0.658,0.6771,0.6639,,,0.1974,0.2007,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4583,0.4847,0.4583,0.4701,,,-0.1954,-0.1973,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7292,0.7569,0.7292,0.6597,,,0.1938,0.2901,,,,,,
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,,,0.5472,0.55,,,,,,
RandomForest,TVAE,0.6458,0.6458,0.6458,0.6458,,,0.1758,0.1758,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,CTGAN,0.625,0.6458,0.625,0.6331,,,0.1724,0.1741,,,,,,
DecisionTree,GaussianCopula,0.5729,0.5609,0.5729,0.5664,,,-0.0218,-0.0219,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.6042,0.6331,0.6042,0.6147,,,0.1412,0.1436,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4792,0.5201,0.4792,0.495,,,-0.1111,-0.114,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.7604,0.7914,0.7604,0.7124,,,0.3109,0.4,,,,,,
RandomForest,Original,0.8333,0.8317,0.8333,0.8253,,,0.5817,0.5949,,,,,,
RandomForest,TVAE,0.6771,0.658,0.6771,0.6639,,,0.1974,0.2007,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5412,0.4896,0.5072,,,-0.0623,-0.065,,,,,,
DecisionTree,CTGAN,0.4792,0.5201,0.4792,0.495,,,-0.1111,-0.114,,,,,,
DecisionTree,GaussianCopula,0.5938,0.5824,0.5938,0.5876,,,0.028,0.0281,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
DecisionTree,TVAE,0.625,0.6388,0.625,0.6309,,,0.1579,0.1586,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4479,0.5007,0.4479,0.4669,,,-0.1491,-0.1553,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.7083,0.6875,0.7083,0.6447,,,0.1515,0.2033,,,,,,
RandomForest,Original,0.8021,0.7978,0.8021,0.7991,,,0.5265,0.528,,,,,,
RandomForest,TVAE,0.7188,0.6973,0.7188,0.6925,,,0.2577,0.276,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
DecisionTree,CTGAN,0.5312,0.5355,0.5312,0.5333,,,-0.0811,-0.0811,,,,,,
DecisionTree,GaussianCopula,0.5729,0.5768,0.5729,0.5748,,,0.015,0.015,,,,,,
DecisionTree,Original,0.7292,0.7786,0.7292,0.7387,,,0.4409,0.4623,,,,,,
DecisionTree,TVAE,0.6875,0.6768,0.6875,0.6809,,,0.2453,0.2465,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.6979,0.6652,0.6979,0.6264,,,0.1111,0.1567,,,,,,
RandomForest,Original,0.7812,0.7833,0.7812,0.7822,,,0.4955,0.4956,,,,,,
RandomForest,TVAE,0.6979,0.6901,0.6979,0.6933,,,0.2773,0.278,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,CTGAN,0.2812,0.3735,0.2812,0.2721,,,-0.2349,-0.328,,,,,,
DecisionTree,GaussianCopula,0.6146,0.5967,0.6146,0.6041,,,0.0603,0.0608,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
DecisionTree,TVAE,0.625,0.6388,0.625,0.6309,,,0.1579,0.1586,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4271,0.4941,0.4271,0.448,,,-0.1549,-0.1658,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7396,0.7368,0.7396,0.6956,,,0.2674,0.3219,,,,,,
RandomForest,Original,0.7917,0.786,0.7917,0.7873,,,0.4969,0.4994,,,,,,
RandomForest,TVAE,0.7083,0.6907,0.7083,0.6942,,,0.268,0.274,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
